Date,Price,Open,High,Low,Vol.,Change %
02/26/2024,3175.94,3112.59,3193.67,3038,582.39K,2.04%
02/25/2024,3112.59,2992.29,3117.59,2984.29,450.78K,4.02%
02/24/2024,2992.29,2922.24,3005.95,2907.23,251.89K,2.40%
02/23/2024,2922.24,2972.47,2992.8,2906.43,441.33K,-1.69%
02/22/2024,2972.46,2971.18,3031.76,2907.22,595.92K,0.04%
02/21/2024,2971.18,3015.38,3016.76,2871.88,620.51K,-1.47%
02/20/2024,3015.38,2944.79,3030.61,2879.82,674.55K,2.40%
02/19/2024,2944.8,2880.16,2983.48,2859.82,478.68K,2.25%
02/18/2024,2880.1,2785.9,2892.79,2765.97,391.11K,3.38%
02/17/2024,2785.9,2801.8,2804.17,2721.21,251.97K,-0.57%
02/16/2024,2801.8,2822.59,2856.76,2759.52,401.19K,-0.74%
02/15/2024,2822.59,2775.12,2864.41,2760.98,520.70K,1.71%
02/14/2024,2775.12,2640.12,2785.51,2619.77,491.97K,5.11%
02/13/2024,2640.1,2657.91,2686.14,2597.15,530.99K,-0.67%
02-12-2024,2657.87,2506.69,2663.57,2473.54,477.42K,6.03%
02-11-2024,2506.69,2500.28,2537.85,2493.83,230.91K,0.26%
02-10-2024,2500.28,2486.24,2515.95,2472.92,194.43K,0.56%
02-09-2024,2486.24,2419.56,2522.96,2419.16,540.92K,2.76%
02-08-2024,2419.56,2424.66,2461,2412.01,350.33K,-0.21%
02-07-2024,2424.64,2372.65,2443.71,2354.46,355.40K,2.19%
02-06-2024,2372.65,2301.83,2390.53,2299.24,381.23K,3.08%
02-05-2024,2301.83,2289.78,2336.63,2271.28,244.98K,0.53%
02-04-2024,2289.78,2296.5,2310.34,2272.02,180.39K,-0.29%
02-03-2024,2296.5,2309.28,2329.5,2293.1,137.80K,-0.55%
02-02-2024,2309.28,2304.28,2324.57,2282.87,246.89K,0.22%
02-01-2024,2304.28,2283.14,2311.31,2240.79,323.61K,0.93%
01/31/2024,2283.14,2343.11,2350.8,2266.8,408.79K,-2.56%
01/30/2024,2343.11,2317.79,2389.23,2298.85,387.12K,1.09%
01/29/2024,2317.79,2256.92,2320.97,2237.69,318.84K,2.70%
01/28/2024,2256.92,2267.91,2306.43,2240.14,216.93K,-0.48%
01/27/2024,2267.91,2267.56,2282.16,2252.31,151.26K,0.02%
01/26/2024,2267.55,2217.71,2280.83,2195.88,377.79K,2.25%
01/25/2024,2217.71,2234.64,2242.85,2173.82,344.11K,-0.76%
01/24/2024,2234.64,2243.72,2264.66,2198.89,373.25K,-0.41%
01/23/2024,2243.74,2313.65,2351.18,2169.54,750.52K,-3.02%
01/22/2024,2313.64,2457.06,2465.97,2304.06,560.84K,-5.84%
01/21/2024,2457.06,2472.04,2481.63,2453.48,126.52K,-0.61%
01/20/2024,2472.03,2491.81,2491.81,2455.07,143.98K,-0.79%
01/19/2024,2491.81,2469.77,2504.09,2418.61,443.42K,0.89%
01/18/2024,2469.77,2531.26,2548.79,2430.97,467.22K,-2.43%
01/17/2024,2531.26,2588.63,2592.88,2510,380.90K,-2.22%
01/16/2024,2588.64,2511.95,2613.71,2501,395.07K,3.05%
01/15/2024,2511.94,2473.96,2553.24,2472.69,332.15K,1.54%
01/14/2024,2473.96,2578.36,2578.37,2470.21,316.45K,-4.05%
01/13/2024,2578.36,2523.99,2589.98,2498.48,436.91K,2.15%
01-12-2024,2523.98,2618.08,2712.88,2462.93,931.96K,-3.59%
01-11-2024,2618.08,2581.9,2688.26,2567.55,889.36K,1.41%
01-10-2024,2581.79,2344.29,2629.68,2342.21,1.12M,10.11%
01-09-2024,2344.67,2330.99,2369.6,2229.25,588.19K,0.59%
01-08-2024,2330.98,2221.4,2357.14,2167.42,565.23K,4.93%
01-07-2024,2221.4,2240.49,2254.7,2209.46,216.41K,-0.85%
01-06-2024,2240.49,2268.14,2269.65,2217.05,202.82K,-1.22%
01-05-2024,2268.12,2267.29,2275.25,2207.4,426.01K,0.04%
01-04-2024,2267.27,2209.49,2293.17,2202.99,467.01K,2.62%
01-03-2024,2209.49,2355.28,2383.92,2122.78,852.01K,-6.19%
01-02-2024,2355.27,2352.06,2430.53,2347.62,491.56K,0.14%
01-01-2024,2352.03,2281.89,2352.03,2266.75,229.28K,3.07%
12/31/2023,2281.9,2291.7,2320.91,2264.67,232.62K,-0.43%
12/30/2023,2291.7,2299.24,2322.76,2269.23,219.92K,-0.33%
12/29/2023,2299.24,2344.48,2385.26,2265.63,475.37K,-1.93%
12/28/2023,2344.47,2378.63,2443.59,2338.46,626.91K,-1.44%
12/27/2023,2378.63,2230.76,2391.53,2213.78,577.27K,6.63%
12/26/2023,2230.74,2271.38,2274.71,2184.6,429.50K,-1.79%
12/25/2023,2271.38,2263.57,2303.28,2253.25,298.17K,0.35%
12/24/2023,2263.57,2308.6,2325.08,2247.73,319.33K,-1.95%
12/23/2023,2308.61,2324.24,2330.07,2267.39,266.30K,-0.67%
12/22/2023,2324.23,2239.62,2341.52,2232.83,620.73K,3.78%
12/21/2023,2239.62,2202.19,2277.72,2183.35,471.46K,1.70%
12/20/2023,2202.19,2177.45,2263.3,2161.76,440.35K,1.14%
12/19/2023,2177.44,2218.82,2254.75,2137.8,400.94K,-1.86%
12/18/2023,2218.8,2197.01,2223.3,2123.06,388.26K,0.99%
12/17/2023,2197.04,2229.07,2247.84,2196.06,233.48K,-1.44%
12/16/2023,2229.07,2220.41,2262.68,2212.8,206.79K,0.39%
12/15/2023,2220.41,2315.4,2317.42,2213.18,349.63K,-4.11%
12/14/2023,2315.64,2260.18,2331.63,2237.39,461.60K,2.45%
12/13/2023,2260.18,2203.49,2283.84,2148.87,436.64K,2.57%
12-12-2023,2203.49,2225.33,2243.34,2168.18,377.05K,-0.98%
12-11-2023,2225.34,2352.26,2355.02,2164.16,678.03K,-5.40%
12-10-2023,2352.26,2340.55,2376.57,2324.18,206.78K,0.50%
12-09-2023,2340.55,2358.42,2401.34,2332.36,304.64K,-0.76%
12-08-2023,2358.42,2355.78,2389.36,2340.88,397.41K,0.11%
